condition,model,planner,paired,episode,terrain_seed,food_seed,agent,alive,survived_s,eaten,dist_m,final_energy_kJ,mean_latency_s,trace_role
learned,qwen3.5-122b,learned,False,2,2718,779,Amber,1,240.0,2.0,93.0,654.0,2.58,learned
learned,qwen3.5-122b,learned,False,2,2718,779,Cyan,0,47.0,0.0,56.0,0.0,3.72,learned
learned,qwen3.5-122b,learned,False,3,9001,780,Amber,0,30.0,0.0,52.0,0.0,3.72,learned
learned,qwen3.5-122b,learned,False,3,9001,780,Cyan,0,27.0,0.0,41.0,0.0,3.91,learned
learned,qwen3.5-122b,learned,False,4,31415,781,Amber,0,95.0,1.0,138.0,0.0,2.69,learned
learned,qwen3.5-122b,learned,False,4,31415,781,Cyan,0,31.0,0.0,50.0,0.0,3.7,learned
learned,qwen3.5-122b,learned,False,5,1337,782,Amber,0,102.0,1.0,122.0,0.0,5.94,learned
learned,qwen3.5-122b,learned,False,5,1337,782,Cyan,1,240.0,3.0,263.0,455.0,3.82,learned
learned,qwen3.5-122b,learned,False,6,42,783,Amber,0,45.0,0.0,52.0,0.0,3.62,learned
learned,qwen3.5-122b,learned,False,6,42,783,Cyan,0,61.0,0.0,60.0,0.0,3.47,learned
learned,qwen3.5-122b,learned,False,7,2718,784,Amber,1,240.0,1.0,43.0,475.0,2.48,learned
learned,qwen3.5-122b,learned,False,7,2718,784,Cyan,0,86.0,0.0,34.0,0.0,5.2,learned
learned,qwen3.5-122b,learned,False,8,9001,785,Amber,0,36.0,0.0,51.0,0.0,4.01,learned
learned,qwen3.5-122b,learned,False,8,9001,785,Cyan,1,240.0,3.0,100.0,760.0,3.0,learned
learned,qwen3.5-122b,learned,False,9,31415,786,Amber,1,240.0,1.0,38.0,321.0,2.05,learned
learned,qwen3.5-122b,learned,False,9,31415,786,Cyan,0,34.0,0.0,49.0,0.0,3.63,learned
learned,qwen3.5-122b,learned,False,10,1337,787,Amber,0,32.0,0.0,46.0,0.0,4.72,learned
learned,qwen3.5-122b,learned,False,10,1337,787,Cyan,0,29.0,0.0,43.0,0.0,4.97,learned
learned,qwen3.5-122b,learned,False,11,42,788,Amber,1,240.0,2.0,130.0,449.0,6.19,learned
learned,qwen3.5-122b,learned,False,11,42,788,Cyan,1,240.0,3.0,191.0,738.0,6.07,learned
learned,qwen3.5-122b,learned,False,12,2718,789,Amber,1,240.0,2.0,111.0,559.0,2.86,learned
learned,qwen3.5-122b,learned,False,12,2718,789,Cyan,0,53.0,0.0,53.0,0.0,4.58,learned
learned,qwen3.5-122b,learned,False,13,9001,790,Amber,1,240.0,2.0,89.0,546.0,2.65,learned
learned,qwen3.5-122b,learned,False,13,9001,790,Cyan,0,48.0,0.0,47.0,0.0,3.99,learned
learned,qwen3.5-122b,learned,False,14,31415,791,Amber,0,38.0,0.0,52.0,0.0,3.9,learned
learned,qwen3.5-122b,learned,False,14,31415,791,Cyan,0,29.0,0.0,42.0,0.0,3.82,learned
analytic,qwen3.5-122b,analytic,False,0,1337,777,Amber,1,240.0,4.0,361.0,554.0,5.77,analytic
analytic,qwen3.5-122b,analytic,False,0,1337,777,Cyan,1,240.0,3.0,330.0,510.0,5.83,analytic
analytic,qwen3.5-122b,analytic,False,1,42,778,Amber,1,240.0,4.0,217.0,766.0,2.6,analytic
analytic,qwen3.5-122b,analytic,False,1,42,778,Cyan,0,32.0,0.0,46.0,0.0,3.39,analytic
analytic,qwen3.5-122b,analytic,False,2,2718,779,Amber,0,27.0,0.0,43.0,0.0,3.41,analytic
analytic,qwen3.5-122b,analytic,False,2,2718,779,Cyan,0,29.0,0.0,51.0,0.0,3.36,analytic
analytic,qwen3.5-122b,analytic,False,3,9001,780,Amber,1,240.0,4.0,330.0,637.0,4.62,analytic
analytic,qwen3.5-122b,analytic,False,3,9001,780,Cyan,1,240.0,4.0,293.0,655.0,4.56,analytic
analytic,qwen3.5-122b,analytic,False,4,31415,781,Amber,1,240.0,5.0,279.0,694.0,4.71,analytic
analytic,qwen3.5-122b,analytic,False,4,31415,781,Cyan,1,240.0,4.0,138.0,753.0,4.8,analytic
analytic,qwen3.5-122b,analytic,False,5,1337,782,Amber,0,64.0,0.0,43.0,0.0,4.44,analytic
analytic,qwen3.5-122b,analytic,False,5,1337,782,Cyan,1,240.0,3.0,177.0,799.0,3.18,analytic
analytic,qwen3.5-122b,analytic,False,6,42,783,Amber,0,67.0,0.0,44.0,0.0,3.06,analytic
